Salinator solida
Tasmaphena sinclairi
Tasmaphena helmsiana
Torresiropa spaldingi
Victaphanta atramentaria
Victaphanta compacta
Victaphanta lampra
Victaphanta milligani
Anoglypta launcestonensis
Brazieresta larreyi
Caryodes dufresnii
Caryodes dufresnii dufresnii
Caryodes dufresnii dertra
Caryodes dufresnii superior
Hedleyella falconeri
Hedleyella maconelli
Pandofella whitei
Pedinogyra allani
Pedinogyra effossa
Pedinogyra hayii
Pedinogyra minor
Pedinogyra rotabilis
Pygmipanda atomata
Pygmipanda kershawi
Bothriembryon angasianus
Bothriembryon balteolus
Bothriembryon barretti
Bothriembryon bradshawi
Bothriembryon brazieri
Bothriembryon bulla
Bothriembryon costulata
Bothriembryon dux
Bothriembryon esperantia
Bothriembryon fuscus
Bothriembryon glauerti
Bothriembryon gratwicki
Bothriembryon indutus
Bothriembryon irvineanus
Bothriembryon kendricki
Bothriembryon kingii
Bothriembryon leeuwinensis
Bothriembryon mastersi
Bothriembryon melo
Bothriembryon naturalistarum
Bothriembryon onslowi
Bothriembryon perditus
Bothriembryon perobesus
Bothriembryon revectus
Bothriembryon rhodostomus
Bothriembryon richeanus
Bothriembryon sayi
Bothriembryon sedgwicki
Bothriembryon spenceri
Bothriembryon whitleyi
Bothriembryon tasmanicus
Placostylus bivaricosus
Allocharopa belli
Allocharopa brazieri
Allocharopa erskinensis
Allocharopa kershawi
Allocharopa legrandi
Allocharopa okeana
Allocharopa tarravillensis
Annoselix dolosa
Biomphalopa concinna
Biomphalopa recava
Bischoffena bischoffensis
Charopella wilkinsoni
Charopella zela
Charopinesta goweri
Charopinesta sema
Charopinesta suavis
Coenocharopa alata
Coenocharopa macromphala
Coenocharopa multiradiata
Coenocharopa parvicostata
Coenocharopa sordidus
Coenocharopa yessabahensis
Coenocharopa aculeata
Cralopa carlessi
Cralopa colliveri
Cralopa kaputarensis
Cralopa stroudensis
Cryptocharopa exagitans
Dentherona altior
Dentherona illustra
Dentherona jemmysensis
Dentherona saturni
Dentherona dispar
Dentherona subrugosa
Dipnelix alychnopis
Dipnelix pertricosa
Discocharopa aperta
Discocharopa inexpectata
Discocharopa mimosa
Discocharopa vigens
Dupucharopa millestriata
Egilomen cochlidium
Egilomen globosa
Egilomen lirata
